SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
31,01/22/2020,Tibet,Mainland China,2020/01/22 17:00,0,0,0
32,01/22/2020,Washington,US,2020/01/22 17:00,1,0,0
33,01/22/2020,Xinjiang,Mainland China,2020/01/22 17:00,0,0,0
34,01/22/2020,Yunnan,Mainland China,2020/01/22 17:00,1,0,0
35,01/22/2020,Zhejiang,Mainland China,2020/01/22 17:00,10,0,0
36,01/22/2020,,Japan,2020/01/22 17:00,2,0,0
37,01/22/2020,,Thailand,2020/01/22 17:00,2,0,0
38,01/22/2020,,South Korea,2020/01/22 17:00,1,0,0
39,01/23/2020,Anhui,Mainland China,2020/01/23 17:00,9,0,0
40,01/23/2020,Beijing,Mainland China,2020/01/23 17:00,22,0,0
41,01/23/2020,Chongqing,Mainland China,2020/01/23 17:00,9,0,0
42,01/23/2020,Fujian,Mainland China,2020/01/23 17:00,5,0,0
43,01/23/2020,Gansu,Mainland China,2020/01/23 17:00,2,0,0
44,01/23/2020,Guangdong,Mainland China,2020/01/23 17:00,32,0,2
45,01/23/2020,Guangxi,Mainland China,2020/01/23 17:00,5,0,0
46,01/23/2020,Guizhou,Mainland China,2020/01/23 17:00,3,0,0
47,01/23/2020,Hainan,Mainland China,2020/01/23 17:00,5,0,0
48,01/23/2020,Hebei,Mainland China,2020/01/23 17:00,1,1,0
49,01/23/2020,Heilongjiang,Mainland China,2020/01/23 17:00,2,0,0
50,01/23/2020,Henan,Mainland China,2020/01/23 17:00,5,0,0
51,01/23/2020,Hong Kong,Hong Kong,2020/01/23 17:00,2,0,0
52,01/23/2020,Hubei,Mainland China,2020/01/23 17:00,444,17,28
53,01/23/2020,Hunan,Mainland China,2020/01/23 17:00,9,0,0
54,01/23/2020,Inner Mongolia,Mainland China,2020/01/23 17:00,0,0,0
55,01/23/2020,Jiangsu,Mainland China,2020/01/23 17:00,5,0,0
56,01/23/2020,Jiangxi,Mainland China,2020/01/23 17:00,7,0,0
57,01/23/2020,Jilin,Mainland China,2020/01/23 17:00,1,0,0
58,01/23/2020,Liaoning,Mainland China,2020/01/23 17:00,3,0,0
59,01/23/2020,Macau,Macau,2020/01/23 17:00,2,0,0
60,01/23/2020,Ningxia,Mainland China,2020/01/23 17:00,1,0,0
61,01/23/2020,Qinghai,Mainland China,2020/01/23 17:00,0,0,0
62,01/23/2020,Shaanxi,Mainland China,2020/01/23 17:00,3,0,0
63,01/23/2020,Shandong,Mainland China,2020/01/23 17:00,6,0,0
64,01/23/2020,Shanghai,Mainland China,2020/01/23 17:00,16,0,0
65,01/23/2020,Shanxi,Mainland China,2020/01/23 17:00,1,0,0
66,01/23/2020,Sichuan,Mainland China,2020/01/23 17:00,8,0,0
67,01/23/2020,Taiwan,Taiwan,2020/01/23 17:00,1,0,0
68,01/23/2020,Tianjin,Mainland China,2020/01/23 17:00,4,0,0
69,01/23/2020,Tibet,Mainland China,2020/01/23 17:00,0,0,0
70,01/23/2020,Washington,US,2020/01/23 17:00,1,0,0
71,01/23/2020,Xinjiang,Mainland China,2020/01/23 17:00,2,0,0
72,01/23/2020,Yunnan,Mainland China,2020/01/23 17:00,2,0,0
73,01/23/2020,Zhejiang,Mainland China,2020/01/23 17:00,27,0,0
74,01/23/2020,,Japan,2020/01/23 17:00,1,0,0
75,01/23/2020,,Thailand,2020/01/23 17:00,3,0,0
76,01/23/2020,,South Korea,2020/01/23 17:00,1,0,0
77,01/23/2020,,Singapore,2020/01/23 17:00,1,0,0
78,01/23/2020,,Philippines,2020/01/23 17:00,0,0,0
79,01/23/2020,,Malaysia,2020/01/23 17:00,0,0,0
80,01/23/2020,,Vietnam,2020/01/23 17:00,2,0,0
81,01/23/2020,,Australia,2020/01/23 17:00,0,0,0
82,01/23/2020,,Mexico,2020/01/23 17:00,0,0,0
83,01/23/2020,,Brazil,2020/01/23 17:00,0,0,0
84,01/23/2020,,Colombia,2020/01/23 17:00,0,0,0
85,01/24/2020,Hubei,Mainland China,2020/01/24 17:00,549,24,31
86,01/24/2020,Guangdong,Mainland China,2020/01/24 17:00,53,0,2
87,01/24/2020,Zhejiang,Mainland China,2020/01/24 17:00,43,0,1
88,01/24/2020,Beijing,Mainland China,2020/01/24 17:00,36,0,1
89,01/24/2020,Chongqing,Mainland China,2020/01/24 17:00,27,0,0
90,01/24/2020,Hunan,Mainland China,2020/01/24 17:00,24,0,0
91,01/24/2020,Guangxi,Mainland China,2020/01/24 17:00,23,0,0
